top1,f1
52.8,35.662
69.15,48.495
66.55,46.557
66.29,46.119
66.93,46.788
29.62,18.093
7.62,2.946
58.09,39.997
68.51,47.909
66.32,46.321
67.41,47.147
29.47,18.017
7.74,3.01
66.18,46.16
29.73,18.195
58.23,40.146
66.94,46.828
66.42,46.487
29.56,18.074
58.32,40.227
67.03,47.015
53.04,35.821
66.22,46.193
66.15,46.148
29.53,18.159
58.17,40.065
66.35,46.381
66.11,46.052
7.85,2.989
52.75,35.678
66.43,46.487
66.23,45.988
29.81,18.435
7.76,2.995
58.28,40.146
65.82,45.875
52.87,35.678
68.8,48.113
66.54,46.566
29.74,18.199
58.23,39.948
52.97,35.788
68.64,47.944
66.58,46.481
66.13,46.121
67.1,47.125
29.69,18.18
7.58,2.908
53.24,36.024
57.93,39.905
67.08,47.032
7.61,2.885
57.85,39.749
69.2,48.562
65.86,45.919
65.82,45.826
29.4,18.0
52.79,35.597
68.93,48.316
66.3,46.325
65.74,45.807
67.2,47.083
29.46,18.076
57.99,39.757
7.47,2.85
58.29,39.997
65.82,45.924
67.24,47.116
7.52,2.846
58.2,40.042
52.92,35.785
68.88,48.238
66.17,46.205
65.67,45.687
52.96,35.761
69.16,48.462
